Year,Month,UN_SIGMA2U_1,UN_SIGMA2U_2,UN_SIGMA2U_3,UN_SIGMA2U_4,UN_SIGMA2U_5,UN_SIGMA2U_6,UN_SIGMA2U_7,UN_SIGMA2U_8,UN_SIGMA2U_9
1992,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1992,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1992,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1992,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1992,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1992,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1992,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1992,9,0.000418884,0.000446413,0.00058973,0.000704311,0.000886714,0.001010666,0.008206348,0.001944153,0.000108719
1992,10,0.000409651,0.000450723,0.00064793,0.000729082,0.000947833,0.000949259,0.009644577,0.002429987,0.00011122
1992,11,0.000432867,0.000434184,0.000596871,0.00072741,0.001077933,0.001045895,0.007133279,0.002681953,0.000112072
1992,12,0.000383558,0.000408979,0.000530139,0.000673565,0.000879805,0.00085463,0.006933339,0.002518269,0.000100609
1993,1,0.000368033,0.000400803,0.000501093,0.000650614,0.000872118,0.000781054,0.00756717,0.001940788,9.69E-05
1993,2,0.000336125,0.000376339,0.000484574,0.000662703,0.000908225,0.000858618,0.005910784,0.001691627,9.23E-05
1993,3,0.000376434,0.000402707,0.000507233,0.000722233,0.001000708,0.000938282,0.00596144,0.001739143,0.000100204
1993,4,0.000414534,0.00043591,0.000542007,0.00073835,0.000956137,0.000905722,0.007769754,0.002208893,0.000107185
1993,5,0.000430738,0.000394448,0.000558888,0.000802407,0.001015149,0.000990169,0.009165916,0.002482866,0.000107977
1993,6,0.00042502,0.000406874,0.000560978,0.000801734,0.001105438,0.000837277,0.008291875,0.002153627,0.000108596
1993,7,0.00045142,0.00041685,0.000578675,0.000806486,0.001116646,0.000900575,0.008461915,0.002258623,0.000112552
1993,8,0.00042413,0.000405649,0.000568037,0.000860916,0.001052268,0.000832063,0.007837369,0.002291043,0.000108844
1993,9,0.000415795,0.000396279,0.000553282,0.000797065,0.00104164,0.000847972,0.009266817,0.00208409,0.000106246
1993,10,0.000422042,0.000415728,0.000633068,0.000761268,0.001131431,0.000874309,0.010284995,0.002345563,0.000111397
1993,11,0.000435162,0.000412771,0.000580697,0.00078431,0.001161195,0.000926258,0.008641657,0.002528357,0.000111352
1993,12,0.000405942,0.000385353,0.000562273,0.000756304,0.001039403,0.000889995,0.008951949,0.002225684,0.000104592
1994,1,0.000383345,0.000375892,0.000523951,0.000675458,0.000988369,0.000857748,0.007781088,0.001750583,9.88E-05
1994,2,0.000377472,0.000355047,0.000505957,0.000701205,0.000978543,0.000878252,0.006955951,0.001552256,9.62E-05
1994,3,0.000401438,0.000381023,0.000534975,0.000758753,0.001106324,0.000952375,0.009488375,0.002279824,0.00010381
1994,4,0.000439601,0.000435513,0.000565223,0.000876588,0.001160084,0.000984623,0.008635336,0.002227673,0.000113939
1994,5,0.000461418,0.000454058,0.000626651,0.00083689,0.001153664,0.001075541,0.01064889,0.00236323,0.000119284
1994,6,0.000455394,0.000484039,0.000657303,0.000836123,0.001147284,0.00115208,0.009835979,0.002596284,0.000122098
1994,7,0.000489724,0.000506482,0.000664974,0.000848949,0.001250821,0.001110138,0.008903095,0.002488784,0.000127741
1994,8,0.000508453,0.000479853,0.000681324,0.000840146,0.0012886,0.0011763,0.008900404,0.002439527,0.000128261
1994,9,0.000464747,0.000484554,0.000656105,0.000808588,0.001186978,0.001061009,0.006965812,0.002107494,0.000121969
1994,10,0.000527267,0.000556176,0.000742544,0.000855445,0.001393029,0.001186838,0.007947507,0.001992736,0.000137796
1994,11,0.000549659,0.000537224,0.000697093,0.00086506,0.001343645,0.001102654,0.007947439,0.002638803,0.000136878
1994,12,0.000491743,0.00051104,0.000702664,0.000829807,0.001345425,0.001041734,0.007891302,0.002083668,0.000129275
1995,1,0.000479977,0.000476684,0.00062926,0.000792447,0.001172203,0.000894911,0.006663101,0.001947483,0.000120707
1995,2,0.000443749,0.000478832,0.000573292,0.00077261,0.001045944,0.000938008,0.006602032,0.001693279,0.000114374
1995,3,0.000507825,0.000536728,0.000581743,0.000819017,0.001204848,0.001162841,0.008286648,0.001779244,0.000126702
1995,4,0.000593512,0.000594821,0.000630977,0.000838427,0.001305269,0.001220618,0.009128719,0.002176535,0.000140817
1995,5,0.000586209,0.0005813,0.000589674,0.000867803,0.0012873,0.001185498,0.009994953,0.002123687,0.000137821
1995,6,0.000609112,0.000608176,0.000636383,0.000843494,0.001385412,0.001218638,0.010117489,0.002471254,0.000144238
1995,7,0.000642625,0.000597178,0.000669469,0.000902557,0.001345139,0.00136834,0.007553497,0.002411017,0.0001479
1995,8,0.000590122,0.000627553,0.000659671,0.000896739,0.001401765,0.001198017,0.008259488,0.002126633,0.000145348
1995,9,0.000586855,0.00055521,0.000609799,0.000840445,0.00123866,0.001263124,0.008368954,0.002402699,0.000136496
1995,10,0.000631394,0.000568283,0.000621861,0.000903745,0.001382531,0.001368823,0.007777739,0.0026367,0.000143682
1995,11,0.00060128,0.000635201,0.000614938,0.000983054,0.001335492,0.001161807,0.008053759,0.002158447,0.000145102
1995,12,0.000613932,0.000610443,0.000585192,0.000943206,0.001241028,0.001099011,0.008352001,0.001982823,0.000141225
1996,1,0.000529427,0.00054779,0.000516473,0.000809478,0.001074934,0.00106319,0.007787477,0.001704903,0.000124104
1996,2,0.000513958,0.000491166,0.000537991,0.000786148,0.001064235,0.00112186,0.007711555,0.001579332,0.000120111
1996,3,0.000512845,0.000569148,0.000555575,0.000884817,0.001161088,0.001125789,0.006751958,0.001562234,0.00012765
1996,4,0.000535209,0.000561872,0.000557225,0.000863689,0.001359453,0.001251908,0.006910119,0.00165668,0.000131073
1996,5,0.000566927,0.000605463,0.00056895,0.000878699,0.001263372,0.001198678,0.008965569,0.001731863,0.000136211
1996,6,0.000600365,0.000668699,0.000579112,0.000987209,0.001235999,0.001122144,0.012216046,0.001931513,0.000144153
1996,7,0.000604388,0.000632039,0.000594958,0.000959331,0.001352206,0.001079006,0.008387116,0.00179273,0.000143301
1996,8,0.000556605,0.000584837,0.000568705,0.000937025,0.001258498,0.001174299,0.011279901,0.001635205,0.000134992
1996,9,0.00054145,0.000530033,0.000579546,0.000908683,0.001257336,0.001092384,0.009626243,0.001808306,0.000130419
